id,source,subject,topic,difficulty,question,answer,explanation,learning_objectives,tags,timestamp,rating,views
ka_0,khan_academy,math,calculus,beginner,Find the derivative of f(x) = 2x^2,f'(x) = 8x^1,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand calculus', 'Apply concepts', 'Problem solving']","['math', 'calculus', 'beginner']",2024-12-05 13:35:47.199867,4.6,9035
ka_1,khan_academy,math,statistics,advanced,Find the derivative of f(x) = 1x^2,f'(x) = 2x^1,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['math', 'statistics', 'advanced']",2025-03-03 13:35:47.199906,4.4,9295
ka_2,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['science', 'statistics', 'advanced']",2025-04-01 13:35:47.199922,4.4,206
ka_3,khan_academy,science,general,advanced,Explain the concept of renaissance.,This concept involves political systems.,Understanding this requires examining its key components and historical context.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['science', 'statistics', 'advanced']",2025-06-27 13:35:47.199934,3.7,5614
ka_4,khan_academy,math,statistics,beginner,Find the derivative of f(x) = 1x^3,f'(x) = 12x^2,Apply the power rule: multiply by the exponent and subtract 1 from the exponent.,"['Understand statistics', 'Apply concepts', 'Problem solving']","['math', 'statistics', 'beginner']",2025-10-25 13:35:47.199949,4.6,8885
ka_5,khan_academy,math,algebra,intermediate,Solve for x: 9x + 5 = 46,x = 5.0,"To solve this equation, isolate x by subtracting the constant term and dividing by the coefficient.","['Understand algebra', 'Apply concepts', 'Problem solving']","['math', 'algebra', 'intermediate']",2025-01-25 13:35:47.199967,3.8,1239
ka_6,khan_academy,math,geometry,advanced,What is the area of a triangle with length of 8?,The area is 61 square units.,"The area formula depends on the shape. For rectangles, it's length × width.","['Understand geometry', 'Apply concepts', 'Problem solving']","['math', 'geometry', 'advanced']",2025-05-06 13:35:47.199979,3.9,6077
ka_7,khan_academy,science,general,intermediate,Explain the concept of democracy.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'intermediate']",2024-12-08 13:35:47.199986,3.9,1269
ka_8,khan_academy,science,general,advanced,Explain the concept of gravity.,This concept involves fundamental forces.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-03-25 13:35:47.199992,4.1,9225
ka_9,khan_academy,science,general,advanced,Explain the concept of democracy.,This concept involves energy conversion.,Understanding this requires examining its key components and historical context.,"['Understand geometry', 'Apply concepts', 'Problem solving']","['science', 'geometry', 'advanced']",2025-07-22 13:35:47.199998,4.7,5268
